,text_a,text_b,labels
0,@TitoJalu @msaid_didu Astagfirullah...serasa di negara Zionis Komunis yach perlakuannya...semoga Alloh melindungi para saksi ini...,Zionis Komunis,2
1,@dashtura Suda mengenal kapitalis ya anda,Suda,2
2,Tu la yang malas nak install whatsapp. Asyik nak tengok seen je. Jadi sakit hati pulak.,Tu la,2
3,"@sahaL_AS @Dennysiregar7 Islam cingkrang lbih gue pilih dr pd Islam Liberal,, piye bro",Islam Liberal,2
4,@mdnooq butoh lepak bukit jalil.. jauh gile.. 30km dri shah alam.. anjirr,30km,2
5,"@detikcom Golput kuwi panganan opo cak? Jenis babi apa anjing? Apa jenis hamar,? Kok haram",Kok,2
6,"@aintblunt Tosss 
Bikin sakit gigi klo pke kacang 

Yah pdhl kata ko wes supaeni aja ",Tosss,2
7,@ChempakaSeri_ Sexist nak mampus like he literally said padan muka yg kena rogol tu sebab bodoh sangat and hina????? HOW IS HE CERTIFIED,Sexist,2
8,@beauthingy Ohalah baru tau gw ada minyak babi nya. Tiap hari kalo maen ma temen gw pake ini,Tiap hari,2
9,"[askMF] anjirr, tadi malem w wet dream, tapi sama alat  kaget akutu",tadi,2
10,"Sengal betul, buat lagi benda bijak. Kan dah kena. Padan muka. Just praying this won't leave any scars to my face pleaseeeeee",Sengal,2
11,Partai keadilan sejahtera itu dari nama aja udah sosialis. KAMU GA NYADAR HEY BANGSAT?,HEY,2
12,Cannot brain kau buat macam tu dekat mak kau. Mak kau yang call tanya taknak melawat mak ke kat hospital ni. Babi lah anak anak dia aku rasa nak nangis. Memang tak melawat langsung !!! Aku sumpah do anak dia jadi batu. Eeeiiiiiiii,Cannot,2
13,"Dh smpai pernah berdua2 dalam gelap dah

Jahanam betoi dah anak orang",Jahanam,2
14,Suspect denggi. Damn aku taknak extend study sial.,Suspect,2
15,Meskipun aku benci Liverpool tapi harus diakui bahwa you'll never walk alone adalah anthem klub sepakbola terbaik di dunia ,never walk,2
16,Semalam ada kereta butoh aku dah bagi signal nak masuk dia tak bagi aku masuk siap himpit sikit lagi nak kena divider,Semalam,2
17,@hahakiim_ Doh aku mat rempit dakpe ahh. Ho bowok muto mmg laju ah mendap rapat. ceng gear guna tangan je ho,Ho,2
18,Hina sangat anak luar nikah. Last2 anak luar nikah tu la jadi manusia. Anak hang jd mat rempit #KamarKamariah,KamarKamariah,2
19,@AkunTofa Ntar kalo di bilang Jokowi menang di daerah yang dulunya basis Komunis tar ngamuk2...,Komunis,2
20,Diam lah! I nak couple jugak dengan June baby.,June,2
21,Hari hari serve customer loading. Pelik2 la orang dekat mall. Kadang takot pon ade. Kang silap cakap kena rogol saje ,mall,2
22,Mungkin dia tengah main dota kot? Ye la nak main time bos ada kang kena marah.,Ye,2
23,"aidil ni sial lah  
pantun cam gmpang . 

"" pagi pagi minum ketum , kan dh khayal "" masohai btul",pagi pagi,2
24,@Nerazzurri_Ale Bagian Pirelli bikin sakit mata liatnya~,Bagian Pirelli,2
25,@NgaKorMing Melayu pukimak &amp; Taliban... Don't forget,Melayu,2
26,"karl marx .... 

itu kitab perang saudara .... komunis vs Canibal ....",Canibal,2
27,Btc mengamuk kettuw,Btc,2
28,@rewan_ishak Tapi saya study kat Perlis kurus ja smpai kena marah,Perlis,2
29,"Kalau mudah sangat koyak dengan fans tak payah main dengan Selangor la bro!

Kepala butoh!",Selangor,2
30,"@NKR_Internet Lagi ngawal Bpk Nurhadi njrr!, mau belajaran pijat baku hantam. Lu mah suka berpikiran kapitalis aja nih.",Bpk Nurhadi,2
31,"@dickyriandy_ Harap bersabar ini ujian

Gokil ibu kos nya, jiwa kapitalis banget",Gokil,2
32,Pukimak,Pukimak,2
33,Mengembalikan kepemilikan  kekayaan  dan mata uang dari sistem kapitalis ke islam  #RinduPemimpinCintaIslam #KhilafahAjaranIslam,RinduPemimpinCintaIslam,2
34,@MisRitaKalang Alamat Islam sekuler diterapkan dan itu mmg maunya org2 berideologi komunis.Naudzubillah ...,Naudzubillah,2
35,Kenapa lelaki sekarang malas nak berusaha lebih? Selasa dengan keadaan sedia ada?,Selasa,2
36,"@detikcom Katanya anti kapitalis, lha kok kritik pihak yg pakai open source? ",open source,2
37,nasi lemak nak viral ya sik nyaman. malas nak madah nasi lemak ney. muka staff menjus. bila order disuroh nunggu 30 minutes.,30 minutes,2
38,Cibai Komunis,Cibai Komunis,2
39,"Walaupun dunia ini dipenuhi perasaan benci, tapi masih wujud lagi orang yang baik hati. If you cant find one, be the one . ",one,2
40,Camtok ria org kantoi ngan aku. Mcm sial,org,2
41,Tolak semua yang berhubungan dengan komunis #UlamaTolakOBOR,UlamaTolakOBOR,2
42,Banyak juga syarikat Pahang ni jual ke cina sebab bisnes macam orang bodo. Tapi takpe dorang cina Umno bukan cina Dap.,Pahang,2
43,@wanfayhsal Dalam dewan rakyat isu terowong pun tak boleh nak sebut atas alasan laporan dari akhbar. Jilatlah kau sampai mati Mat Jargon ,Mat Jargon,2
44,Teriak-teriak anti kapitalis tapi target kedepan mau jadi karyawan tetap. Selucu itu warga masyarakat +62,62,2
45,Taknak ah aku kawan dgn org mcm kau. Cakap tk serupa bikin. Kimakk anjirr,Kimakk,2
46,"meroyan kau aku tak ikut kepala bossy kau.. padan muka

apa punya LA..bukan hal kau pun. itu kerja admin.",LA,2
47,Pukimak apa sial rembat baju kitchen aku! Orang kelantan memang babi la.,Pukimak,2
48,Bodohnya abang tu. Ok done tweet membodohkan org,org,2
49,Perempuan kalau lapar.. memang nak mengamuk je kan? Macam #AdiraImani kan? #AsalkanDiaBahagia,AsalkanDiaBahagia,2
50,@amalinaaaaaaaa_ Tudiaa. Bebal dia suci lagi tulus. Asli dan bukan copy ori ,Tudiaa,2
51,Sidang MK dimulai masih adakah keadilan dalam sistem Kapitalis ?,MK,2
52,"Semalam penat keje balik lewat. Malas nak drive balik rumah, aku beli satu unit kat One KL. tak mahal la, dalam 3.9 million je satu.",KL,2
53,@rahimmmmm Anjirrr,Anjirrr,2
54,"sis cannot brain drama melayu panggil ank  ""son"" .. helo cerita omputeh pon x panggil anak depa son2 okeh , daaaa ",pon,2
55,"MaNa BoLeH aMiK bUaH tU, tAh2 DiA lEtAk MiNyAk BaBi...",BoLeH,2
56,"@askmenfess ""Cintai ususmu minum Yakult tiap hari.""

Tapi kalo terlalu cinta bisa bikin sakit hati. CMIIW.",Yakult,2
57,"Dengan ini, saya Wahida Amalin malas nak pegi keje ",Wahida,2
58,"Vavi la mat rempit bising sial mentang mentang member dah lepas, nak jejak kasih la tu",Vavi,2
59,@Dr_Moulin @Dahnilanzar demi saya? demi kita? demi RRC komunis kali !!,RRC,2
60,Weekend paling malas. Nak keluar malas tapi ada barang nak beli.,Weekend,2
61,Bodoh dan kurang ajar ni pakej sesuai untuk mat rempit,Bodoh,2
62,Ermm aku tak benci taugeh. Aku benci kapitalis yang mempergunakan dorang demi keuntungan.,Ermm,2
63,"Lepasni taknak dah aku awaydays Melaka naik motor ni. Mat rempit ghamai naw tunjuk bakat, ghisau dibuatnya",Melaka,2
64,Benda simple je kot lupa nak off charger Pastu mengamuk satu kampung nape,satu,2
65,Fuck off @ktm_berhad punya driver yang menuju ke pelabuhan klang kau clearly nampak aku berlari lari nak masuk kau boleh jalan je fuck you,klang,2
66,@En_White_Bird Boleh gi mampus terjun jambatan Penang.  Jahanam punya rasis....,Jahanam,2
67,Dugaan Ramadhan kali ni. Mak and adik adik warded sebab denggi ,Mak and,2
