text_a,text_b,label,NE_type,PoS,isReply
Dah mula dah... Masuk keluar mahkamah bgi ahli2 politik yg tak sebulu dgn kerajaan... tu biasa... cuba tnya DSAi...,DSAi,-1,ORG,NOUN,False
"Sakit hati baca politik hari ni, cuba tenangkan fikiran tengok Youth Over Flower. Lagi sakit hati. Aku nak pergi Iceland!!!!",Iceland,-1,GPE,PROPN,False
"@fckingrimmmrep Tahu apa yang lagi sucks, belajar lama lama kat perlis tak pergi lagi sampai skrang. Pukimak punya kerajaan.",perlis,-1,GPE,NOUN,True
"@501Awani Tidak tahan lama. Kita akan tahu bila Azmin balik dari luar Negeri. Kalau bukan Kepintaran Azmin, mana PN dapat jadi kerajaan.",Negeri,-1,GPE,PROPN,True
"@KKMPutrajaya Terengganu masih kekal dua digit. InsyaAllah kita turunkan lg hingga satu digit. Bersatu teguh, bercerai roboh!",Terengganu,1,GPE,PROPN,True
Azmin ni masa jadi pembangkang nampak bagus siot. Jadi menteri serupa waknat !,waknat,-1,GPE,NOUN,False
Kerajaan negeri Pahang diam ajer kerr aherherher #majuteruspahang,Pahang,-1,GPE,PROPN,False
MP Segamat keluar Bersatu? Dia keluar nak pi mana?,Segamat,-1,GPE,PROPN,False
Lebih dari 20 orang. Polis mana nak buat kerja yg ni. Polis kan anjing kerajaan. Bootlicker,Bootlicker,-1,PERSON,PROPN,False
Tak lama lagi Najib pulak lepas dan bebas.. akhirnya Malaysia jadi kerajaan yg amat memalukan..,Malaysia,-1,GPE,PROPN,False
"Ntah la, at the end aq rsa YDPA pon punca juga. Tak firm, slow buat decision &amp; menurut je apa gang Kerajaan buat.. #PrayForMalaysia",PrayForMalaysia,-1,ORG,PROPN,False
Beria ucap tahniah kat YAB TPM baharu tapi beria juga dok sebut kerajaan gagal,Beria,-1,GPE,PROPN,False
Siapa perlukan BERSATU kalau MB Johor yang ada buat masa sekarang ni boleh berfungsi baik daripada si penjaga nanas? Waktu pandemik jangan berpolitik Tumpu rakyat..kes masih tinggi.,Johor,-1,GPE,PROPN,False
@UMNO_2021 Tak repot Zahid kepada Lembaga Disiplin Umno ke?,Zahid,-1,ORG,PROPN,True
"Dap kena ingat, tambak johor ni takde warganegara malaysia yang teringin/mampu nak duduk situ. Korang takde monarki tapi buat perangai monarki. Kimak.",Kimak,-1,GPE,PROPN,False
@ChusnulCh__ @PDemokrat @AgusYudhoyono Gaya Politik PD itu Lempar Batu Sembunyi Tangan,Tangan,-1,WORK_OF_ART,NOUN,True
@Khahakim154 @H_Bakkaniy Sekarang ni kerajaan Kedah tak bantu ke yang naikkan bendera putih tu?,Kedah,-1,GPE,PROPN,True
latar belakang kluster: KILANG kerajaan: tutup KLANG,KLANG,-1,FAC,PROPN,False
"gigih Azim dan kengkawan sembang pasal politik, Melaka, high-rise, IT",Melaka,0,GPE,PROPN,False
@syafique_s Dap laa..negara komunis katenye,Dap,-1,GPE,NOUN,True
"Ahli Politik kat Malaysia ni semua muka tembok taktahu malu sial , mmg kimak semua muka tebal !",Malaysia,-1,GPE,PROPN,False
@f4kr0ls00d Kerajaan tempatan nak habis curi Balak sebelum mereka diguling nanti.Tak lama lah !,Balak,-1,PERSON,NOUN,True
"@takiyuddin61 Ehhh jgn... Nnti geng2 UMNO ditunggang utk tujuan ""dinar"" shj...",UMNO,-1,NORP,PROPN,True
@DrPalatao Sampai ke Raub bg bantuan.. hebat YB DAP,Raub,1,GPE,PROPN,True
"@PREMPUCHONG @501Awani @Khairykj Salah ayat, kerajaan kena bagi Selangor dulu",Selangor,-1,GPE,PROPN,True
"@SyafiqAbum @TfN_SoN @azrazul_ @kayniskay @anthraxxxx Saya bukan nak cakap apa tau. Kubu BN memang kuat dekat Muar ni. MP Muar yg dulu tu, pakcik saya sendiri. Saya tau kerja dia mcm mana. And after sy sendiri dah berurusan dgn pihak yb saddiq, saya sokong apa yg dia buat.",Muar,-1,GPE,PROPN,True
"@zack_rockstar @PejaOfPerak DAP pun sanggup dipergunakan di perak. 2x5, 5x?",DAP,-1,ORG,PROPN,True
"@magmalaya Isu kat Malaysia ni, masalah politik je punca utama",Malaysia,-1,GPE,PROPN,True
"WTB Mark emphaty dream ver / mark jempol Budget maksimal 200k Ready jpn, kr, indo, ph, usa gpp ready mana aja",WTB,0,ORG,PROPN,False
@DonDanial20 x pasti jangan kongsi org tgh berkobar dgn cite presiden hang kata pm dari kalangan MP Umno,Umno,-1,ORG,PROPN,True
Kepada semua rakan Twitter; saya merayu supaya anda janganlah undi lagi mana-mana calon dari parti pemerintah sekarang. Tolonglah.,Twitter,-1,ORG,PROPN,False
This. Tapi CM Sarawak Abang Jo taknak. Sebab bagi dia sesebuah kerajaan mesti dapat mandat dari rakyat.,Sarawak,-1,ORG,PROPN,False
ML studio makin lama makin nak jadi merapu macam kerajaan ke?,ML,-1,ORG,PROPN,False
"siotlah drama politik waktu lockdown. dah la album kena jual, klang lock down, aku tak dapat keluar nak beli kek eh dasarrrrrrr",klang,-1,GPE,NOUN,False
Apa bangsat punya perangai pergi cari makcik ni semata-mata nak clear nama kau @MasturaYazid_ ? Kau punya kerja patut tolong dia kot. Setiap hari mesti ada ahli politik Malaysia buat kita marah.,Malaysia,-1,GPE,PROPN,False
UMNO bersama rakyat my ass. Ini semua nak lepaskan tekak masing masing.,UMNO,-1,NORP,PROPN,False
Disebakan Selangor Dibawah Kerajaan PH???,Selangor,-1,GPE,PROPN,False
"@MohammadRosliM1 @501Awani Betul tu bang, kerajaan Kelantan kan kerajaan ala-ala Taliban...",Taliban,-1,ORG,PROPN,True
@rahah_ghazali Kerajaan Melayu Isley,Kerajaan Melayu Isley,-1,GPE,PROPN,True
"Harap bila next PRU, parlimen dah dissolve, depa pakat takda kuasa dah, normalize maki depa baling telur baling kasut dekat ahli politik sampah yang cuba bertanding lagi sebab nak kekal berkuasa. Takyah salam cium tangan dah.",PRU,-1,ORG,PROPN,False
"@mkini_bm Parti paling bodo dalam Malaysia, PAS.",Malaysia,-1,GPE,PROPN,True
@mkini_bm Tutup kilang pelabur akan ugut untuk lari ke negara lain..mana berani kerajaan selangor dgn taikun,selangor,-1,GPE,NOUN,True
"Patutlah sampai sekarang banyak kawasan di Kelantan tiada air bersih. Parti yang memerintah tiada 'sense of urgency'. Sekarang sudah jadi kerajaan pusat, perangai tetap sama.",Kelantan,-1,GPE,PROPN,False
